player,player_id,team,season,age,attempts,completion_pct,yards_per_attempt,td_rate,int_rate,passer_rating,any_a,archetype,cluster
Aaron Rodgers,RodgAa00,GNB,2022,39.0,542.0,64.6,6.8,4.8,2.2,91.1,5.95,The League Core,0
Daniel Jones,JoneDa05,NYG,2022,25.0,472.0,67.2,6.8,3.2,1.1,92.5,5.89,The League Core,0
Derek Carr,CarrDe02,LVR,2022,31.0,502.0,60.8,7.0,4.8,2.8,86.3,6.01,The League Core,0
Jacoby Brissett,BrisJa00,CLE,2022,30.0,369.0,64.0,7.1,3.3,1.6,88.9,6.15,The League Core,0
Justin Herbert,HerbJu00,LAC,2022,24.0,699.0,68.2,6.8,3.6,1.4,93.2,6.22,The League Core,0
Kirk Cousins,CousKi00,MIN,2022,34.0,643.0,65.9,7.1,4.5,2.2,92.5,6.05,The League Core,0
Kyler Murray,MurrKy00,ARI,2022,25.0,390.0,66.4,6.1,3.6,1.8,87.2,5.16,The League Core,0
Lamar Jackson,JackLa00,BAL,2022,25.0,326.0,62.3,6.9,5.2,2.1,91.1,6.12,The League Core,0
Mac Jones,JoneMa05,NWE,2022,24.0,442.0,65.2,6.8,3.2,2.5,84.8,5.36,The League Core,0
Marcus Mariota,MariMa01,ATL,2022,29.0,300.0,61.3,7.4,5.0,3.0,88.2,5.85,The League Core,0
Matt Ryan,RyanMa00,IND,2022,37.0,461.0,67.0,6.6,3.0,2.8,83.9,4.94,The League Core,0
Matthew Stafford,StafMa00,LAR,2022,34.0,303.0,68.0,6.9,3.3,2.6,87.4,5.18,The League Core,0
Mitchell Trubisky,TrubMi00,PIT,2022,28.0,180.0,65.0,7.0,2.2,2.8,81.1,5.44,The League Core,0
Russell Wilson,WilsRu00,DEN,2022,34.0,483.0,60.5,7.3,3.3,2.3,84.4,5.54,The League Core,0
Ryan Tannehill,TannRy00,TEN,2022,34.0,325.0,65.2,7.8,4.0,1.8,94.6,6.39,The League Core,0
Taylor Heinicke,HeinTa00,WAS,2022,29.0,259.0,62.2,7.2,4.6,2.3,89.6,6.07,The League Core,0
Tom Brady,BradTo00,TAM,2022,45.0,733.0,66.8,6.4,3.4,1.2,90.7,6.13,The League Core,0
Trevor Lawrence,LawrTr00,JAX,2022,23.0,584.0,66.3,7.0,4.3,1.4,95.2,6.66,The League Core,0
BrockPurdy,PurdBr00,SFO,2023,24.0,444.0,69.4,9.6,7.0,2.5,113.0,9.01,Elite Quarterbacks,2
C.J. Stroud,StroCJ00,HOU,2023,22.0,499.0,63.9,8.2,4.6,1.0,100.8,7.47,Elite Quarterbacks,2
