player_id,attempts,completions,yards,tds,ints,epa_per_db,cpoe,name,cmp_pct,ypa,rating,third_down_delta,clutch_att,clutch_cmp_pct,fourth_att,fourth_rate,season
00-0037013,368,221.0,2271.0,8.0,7.0,-0.02288230759882896,-3.127371265658832,Z.Wilson,60.05434782608695,6.171195652173913,77.16259057971016,-8.498201438848923,43.0,53.48837209302325,6.0,50.0,2023
00-0037077,612,388.0,3946.0,21.0,21.0,0.005218570401620725,-0.42723776663050933,S.Howell,63.39869281045751,6.447712418300654,78.92156862745097,-5.4910714285714235,58.0,53.44827586206896,19.0,52.63157894736842,2023
00-0037834,552,374.0,5054.0,34.0,12.0,0.39537945507524347,3.9470901392358013,B.Purdy,67.7536231884058,9.155797101449275,108.16727053140096,-12.775416802876762,48.0,54.166666666666664,,,2023
00-0038102,324,201.0,2070.0,6.0,4.0,0.004837010869487132,-2.1204296427388347,K.Pickett,62.03703703703704,6.388888888888889,81.43004115226337,-20.364906832298132,16.0,56.25,,,2023
00-0038108,212,127.0,1272.0,6.0,9.0,-0.1608789445956201,-4.42770113154213,B.Zappe,59.905660377358494,6.0,68.75,-13.888888888888886,22.0,50.0,7.0,28.57142857142857,2023
00-0038122,388,249.0,2836.0,12.0,12.0,0.05842941971661423,-1.3355350295702617,D.Ridder,64.17525773195877,7.309278350515464,83.44072164948454,-4.6560846560846585,53.0,71.69811320754717,8.0,25.0,2023
00-0038476,178,114.0,1101.0,8.0,3.0,0.010852546948178625,-2.9026570242075693,T.DeVito,64.04494382022472,6.185393258426966,89.18539325842696,4.491341991341983,12.0,75.0,10.0,40.0,2023
00-0038579,343,213.0,2218.0,12.0,7.0,0.08654846807819214,-3.9035496967179433,A.O'Connell,62.09912536443149,6.466472303206997,83.93464528668609,-0.625,33.0,51.515151515151516,8.0,62.5,2023
00-0039150,527,315.0,2877.0,11.0,10.0,-0.059565492309005486,-1.4098406276282143,B.Young,59.772296015180274,5.459203036053131,73.6914927261227,-9.63440215762661,44.0,54.54545454545454,28.0,46.42857142857143,2023
00-0039152,255,149.0,1808.0,8.0,4.0,0.11601259335170817,-0.38261012389109683,W.Levis,58.43137254901961,7.090196078431372,84.24019607843137,-4.307301228640014,30.0,53.333333333333336,,,2023
00-0039163,553,354.0,4557.0,26.0,5.0,0.26594218351221466,0.10196715593338013,C.Stroud,64.01446654611212,8.240506329113924,101.66892706449669,-9.102885418674902,60.0,70.0,8.0,37.5,2023
00-0023459,584,368.0,3897.0,28.0,11.0,0.13358693206132247,-2.558030059534899,A.Rodgers,63.013698630136986,6.6729452054794525,90.53224885844747,-10.029791459781528,54.0,51.85185185185185,15.0,53.333333333333336,2024
00-0026158,248,162.0,1761.0,12.0,7.0,0.1573087466416004,1.0691208041403903,J.Flacco,65.32258064516128,7.100806451612903,90.47379032258064,-2.679425837320572,20.0,45.0,6.0,83.33333333333334,2024
00-0026498,588,385.0,4295.0,24.0,8.0,0.18678282859861683,-0.8354926370737845,M.Stafford,65.47619047619048,7.304421768707483,95.01842403628119,-9.96155723700268,59.0,55.932203389830505,12.0,41.66666666666667,2024
00-0027973,160,106.0,989.0,7.0,6.0,-0.045342414149250165,-1.1419994899859796,A.Dalton,66.25,6.18125,82.00520833333333,0.9523809523809632,,,,,2024
00-0029263,365,234.0,2752.0,18.0,5.0,0.185006993803518,5.104016375325598,R.Wilson,64.10958904109589,7.53972602739726,97.6541095890411,-1.2510425354461958,41.0,58.536585365853654,5.0,20.0,2024
00-0029604,453,303.0,3508.0,18.0,16.0,0.16958588341207698,0.9587325138685633,K.Cousins,66.88741721854305,7.743929359823399,88.61754966887418,-7.3392357875116545,75.0,64.0,19.0,63.1578947368421,2024
00-0030565,578,407.0,4320.0,21.0,15.0,0.18752916646188073,5.639533668971664,G.Smith,70.41522491349481,7.474048442906574,93.20213379469435,-10.271460014673522,56.0,69.64285714285714,6.0,66.66666666666666,2024
00-0031280,279,189.0,2145.0,15.0,5.0,0.21087474785887872,3.2763743275449477,D.Carr,67.74193548387096,7.688172043010753,101.02299880525688,-1.4430379746835484,35.0,51.42857142857142,5.0,20.0,2024
00-0031503,296,181.0,2121.0,13.0,12.0,0.043581127216645685,-1.7749517742130492,J.Winston,61.14864864864865,7.16554054054054,80.6447072072072,0.7661290322580712,31.0,61.29032258064516,8.0,62.5,2024
